slug,baslik,koleksiyon,eski_sorgu
bardaisan-ulkelerin-yasalari-kitabi-kader-yildizlar,"Ülkelerin Yasaları Kitabı: Kader, Yıldızlar ve İnsanın İradesi",Gnostisizm,bardaisan ulkelerin
inci-ilahisi-ruhun-inisi,İnci İlahisi: Ruhun Doğu&#x27;dan İnişi ve Işıklı Kaftanın Çıkarılışı,Gnostisizm,inci ilahisi
francis-potter-666-sayisinin-kokunu-cikarmak,666 Sayısının Kökünü Çıkarmak,Hermetizm,francis potter
asclepius,Asclepius: Duyulur Tanrı Olarak Kozmos,Hermetizm,asclepius
asclepius-tanri-yapan-heykeller-hermetik-diyalog,Asklepios: Tanrı Yapan Heykeller,Hermetizm,asclepius tanri
valeriano-hieroglyphica-aslanin-avinda-ruhun-dogasi,Aslanın Avında Ruhun Doğası: Kadim Mezar Simgeleri,Hermetizm,valeriano hieroglyphica
bocchi-hermathena-simgesel-sorular,Bocchi ve Hermathena: Simgesel Sorularla Erdemin Zaferi,Hermetizm,bocchi hermathena
biruni-hindistan-tanri-birligi,Doğmamış ve Doğurmamış Olan: Bîrûnî&#x27;nin Kalemiyle Tanrı&#x27;nın Birliği,Hermetizm,biruni hindistan
dunyanin-bakiresi-kore-kosmou-isis-horus,Dünyanın Bakiresi: Isis&#x27;in Horus&#x27;a Sırrı,Hermetizm,dunyanin bakiresi
hekimin-dini-gizemde-kendini-kaybetmek-hermetizm,Gizemde Kendini Kaybetmek,Hermetizm,hekimin dini
ihvan-i-safa-hayvanlarin-davasi-kral-divani,Hayvanların Davası: Cin Kralının Divanında Bir Bilgenin Öğüdü,Hermetizm,ihvan safa
hermetik-sanat-uzerine-kisa-bir-sorusturma-1714,Hermetik Sanat Üzerine Kısa Bir Soruşturma,Hermetizm,hermetik sanat
hermetika-vii-en-buyuk-kotuluk-tanri-cehaleti,Hermetika VII: İnsanlar Arasındaki En Büyük Kötülük Tanrı Cehaletidir,Hermetizm,hermetika buyuk
hermetika-x-anahtar-iyilik-goruntusu,Hermetika X: Anahtar,Hermetizm,hermetika anahtar
horapollon-hieroglyphica-yilan-ile-sonsuzluk-ve-kozmos,Hieroglyphica: Yılanla Anlatılan Sonsuzluk ve Kâinat,Hermetizm,horapollon hieroglyphica
kildani-kehanetleri-ata-zihni-ve-ruhun-donusu,Kildani Kehanetleri: Ata Zihni ve Ruhun Simgeleri,Hermetizm,kildani kehanetleri
kore-kosmou-dunyanin-bakiresi-isis-horus-mead,Kore Kosmou: Dünyanın Bakiresi,Hermetizm,kore kosmou
hermetika-dort-krater-zihin-vaftizi,Krater ya da Monad: Zihnin Vaftizi,Hermetizm,hermetika dort
muzaffer-canavarin-kovulusu-erdemler-ayiplar-reformu,Muzaffer Canavarın Kovuluşu: Ruhun Ayıplarla Savaşı ve Göğün Reformu,Hermetizm,muzaffer canavarin
ripa-iconologia-misir-hikmeti-hermetik-suret,Mısır Hikmeti ve Suretin Örtüsü,Hermetizm,ripa iconologia
poimandres-o-isik-benim-hermetik-ilahi-akil,"Poimandres: O Işık Benim, Senin Tanrın, Akıl",Hermetizm,poimandres isik
poimandres-ilahi-zihnin-gorunmesi,Poimandres: İlahi Zihnin Görünmesi,Hermetizm,poimandres ilahi
poliphilonun-ruya-savasi-karanlik-orman,Poliphilo&#x27;nun Rüya Savaşı: Karanlık Ormanda,Hermetizm,poliphilonun ruya
pomponazzi-ruhun-olumsuzlugu-iman-akil-hermetizm,Ruhun Ölümsüzlüğü Üzerine Risale,Hermetizm,pomponazzi ruhun
ihvan-i-safa-sayi-ilimlerin-kokudur,"Sayı, İlimlerin Kökü ve Manaların Alfabesidir",Hermetizm,ihvan safa
suleymanin-muhru-ornias-cini,Süleyman&#x27;ın Mührü ve Cin Ornias,Hermetizm,suleymanin muhru
maier-arcana-arcanissima-hiyeroglifin-kilidi,Sırların En Gizlisi: Mısır-Yunan Hiyeroglifinin Anahtarı,Hermetizm,maier arcana
sirlarin-sirri-gizli-ilimlerin-perdelenmesi,Sırların Sırrı: Gizli İlimlerin Perdelenmesi,Hermetizm,sirlarin sirri
alciato-emblemata-tanri-ya-da-din,Tanrı ya da Din: İsis&#x27;in Eşeği ve Yol Ağzındaki Hermes,Hermetizm,alciato emblemata
tanri-sonsuz-kure-yirmi-dort-filozof-kitabi,"Tanrı, Merkezi Her Yerde Olan Sonsuz Küredir",Hermetizm,tanri sonsuz
balinas-yaratilisin-sirri-serapis-tapinagi,Yaratılışın Sırrı: Serapis Tapınağında Hermes ile Karşılaşma,Hermetizm,balinas yaratilisin
plethon-yasalar-uzerine-tanrilar-uzerine-anlasmazlik,Yasalar Üzerine: Tanrılar Hakkında Anlaşmazlık,Hermetizm,plethon yasalar
hermetica-xiii-yeniden-dogus,Yeniden Doğuş Üzerine Gizli Vaaz,Hermetizm,hermetica xiii
hermetika-13-yeniden-dogus-dagdaki-gizli-vaaz,Yeniden Doğuşa Dair Dağdaki Gizli Vaaz,Hermetizm,hermetika yeniden
philostratus-apollonius-ilk-tanri,İlk Tanrı&#x27;ya Sunulan Sessiz Söz,Hermetizm,philostratus apollonius
isis-horustan-dunyanin-bakiresi-ruhun-bedene-inisi,İsis&#x27;ten Horus&#x27;a: Ruhun Bedene İnişi,Hermetizm,isis horustan
van-helmont-aritilmis-hekimlik-sifa-arayisi,Şifanın Sessiz Çilesi: Van Helmont&#x27;un İtirafı,Hermetizm,helmont aritilmis
gikatilla-adalet-kapilari-uc-sefirot-ucgeni,Adalet Kapıları: Sefirotların Üç Üçlüsü ve Biricik İsim,Kabbalah,gikatilla adalet
abraham-abulafia-aklin-isigi,"Aklın Işığı: İnsan, Küçük Bir Evren",Kabbalah,abraham abulafia
moses-de-leon-kutsal-mabet-sekinah,"Aşağıdaki Mabet, Yukarıdaki Örüntünün Sırrıdır",Kabbalah,moses leon
akkolu-ishak-canin-hazinesi-tovbe-ve-hikmet,Canımın Bildiği Şey: Akkolu İshak&#x27;ın İtirafı,Kabbalah,akkolu ishak
van-helmont-seder-olam-dort-alem,Dört Âlem ve On Sudur: İbrani Bilgelerin Kabala Öğretisi,Kabbalah,helmont seder
abulafia-gelecek-dunyanin-yasami,Gelecek Dünyanın Yaşamı,Kabbalah,abulafia gelecek
welling-opus-mago-cabbalisticum-gercek-kabala,Gerçek Kabala: Doğanın Alfabesinin Anahtarı,Kabbalah,welling opus
recanati-taamei-ha-mitzvot-hidden-and-manifest-kabbalah,Gizli Olan ile Aşikâr Olan: Recanati&#x27;nin Kabbalistik Öğretisi,Kabbalah,recanati taamei
postel-gizli-seylerin-anahtari,Gizli Şeylerin Anahtarı,Kabbalah,postel gizli
gizlilik-kitabi-kadim-yuz-sakali,Gizlilik Kitabı: Kadim Olan&#x27;ın Sakalı,Kabbalah,gizlilik kitabi
herrera-gate-of-heaven-four-worlds-kabbalah,Göğün Kapısı: Meleklerin Esîrî Bedenleri ve Kabala&#x27;nın Dört Âlemi,Kabbalah,herrera gate
temunah-harflerin-sureti-yaratilis-kitabi,Harflerin Sureti: Yaratılış Kitabı&#x27;nda İki Yüz Otuz Bir Kapı,Kabbalah,temunah harflerin
sefer-ha-peliyah-book-of-wonder-tek-irade,Harikalar Kitabı: Tek İrade ve İsmin Sırrı,Kabbalah,sefer peliyah
etz-hayim-adam-kadmon-yaratilis-mertebeleri,Hayat Ağacı: Adam Kadmon ve Yaratılışın Mertebeleri,Kabbalah,hayim adam
menasseh-ben-israel-nishmat-hayyim-ruhun-onceligi,Hayatın Ruhu: İnsanı Taçlandıran Ruh Üzerine,Kabbalah,menasseh israel
sefer-ha-bahir-isik-koktur,Işık Köktür: Kadim Nur Üzerine,Kabbalah,sefer bahir
kabbala-denudata,Kabalanın Açılışı,Kabbalah,kabbala denudata
kabbala-denudata-alef-harfi-ve-sefirotlar,Kabbala Denudata: Alef Harfi ve Sefirotların Sudûru,Kabbalah,kabbala denudata
sefer-ha-bahir-kadim-isik-ve-karanlik,Kadim Işık ile Kadim Karanlık: Yaratılıştan Önce,Kabbalah,sefer bahir
emek-ha-melech-kralin-vadisi-tzimtzum,Kralın Vadisi: İlahî Işığın Katlanışı,Kabbalah,emek melech
meir-ibn-gabbai-kutsal-hizmet-birlik-sirri,Kutsal Hizmet: Birlik Sırrı ve Duanın Niyeti,Kabbalah,meir gabbai
ibn-gabbai-kutsal-hizmet-ruhun-donusu,Kutsal Hizmet: Ruhun Yukarı Kaynağına Özlemi,Kabbalah,gabbai kutsal
gikatilla-kutsal-isimlerin-hazine-evi,Kutsal İsimlerin Hazine Evi,Kabbalah,gikatilla kutsal
da-fano-kabbalah-kutsamalarin-niyeti,Kutsamaların Niyeti: Kabbalistik Derlemeden Bir Pasaj,Kabbalah,fano kabbalah
melek-raziel-adem-e-verilen-kitap,Melek Raziel&#x27;in Adem&#x27;e Verdiği Kitap,Kabbalah,melek raziel
ibn-gabirol-crown-of-the-kingdom-kabbalah-prayer,Melekûtun Tacı: İlahi İradeye Bir Niyaz,Kabbalah,gabirol crown
cordovero-nar-bahcesi-sudurun-sirri,Nar Bahçesi: Sudûrun Sırrı ve Sefirot&#x27;un Kanalları,Kabbalah,cordovero bahcesi
cordovero-pardes-rimonim-on-sefirot,Nar Bahçesinin On Sefirotu Üzerine,Kabbalah,cordovero pardes
azriel-gerona-on-sefirot-aciklamasi,On Sefirot&#x27;un Açıklaması: Ain Soph&#x27;tan Taşan Kudretler,Kabbalah,azriel gerona
chaim-vital-reenkarnasyon-kapisi-dallar-kapisi,Ruhun İnişi ve Kıvılcımların Arınması: Dallar Kapısı,Kabbalah,chaim vital
sefer-ha-pelia-hikmet-anlayis-bilgi-yaratilis,"Sefer ha-Peliah: Hikmet, Anlayış ve Bilgi Üzerine",Kabbalah,sefer pelia
moses-de-leon-sefirotlara-akan-ilahi-bereket,Sefirotlara Akan İlahi Bereket,Kabbalah,moses leon
kalbin-gorevleri-tanrinin-huzurunda-yasamak,Tanrı&#x27;yı Daima Önünde Tutmak: Kalbin Hizmeti,Kabbalah,kalbin gorevleri
teli-gokyuzu-ejderi-yetzirah-kabbalah,Teli: Göklerin Ejderi ve Tahtındaki Kral,Kabbalah,teli gokyuzu
nahmanides-secrets-of-the-torah-introduction,Tevrat&#x27;ın Sırları: Ramban&#x27;ın Tevrat Şerhine Girişi,Kabbalah,nahmanides secrets
luzzatto-tikkunim-pethach-eliyahu,"Tikkunlar&#x27;a Giriş: Efendi, Sen Birsin",Kabbalah,luzzatto tikkunim
horowitz-iki-levha-yaratilistan-once,Yaratılıştan Önce: O ve O&#x27;nun Adı,Kabbalah,horowitz levha
cordovero-or-yakar-bereshit-adalet-ve-merhamet-isigi,Yaratılışın İki Işığı: Adalet ve Merhamet,Kabbalah,cordovero yakar
sefer-ha-temunah-yirmi-iki-temel-harf,Yirmi İki Temel Harf: Yaratılış Kitabı,Kabbalah,sefer temunah
bilgeligin-baslangici-yurege-giren-ogut,Yüreğe İşleyen Öğüt: Bir Kabalistin Vasiyeti,Kabbalah,bilgeligin baslangici
chaim-vital-hayat-agaci-ofke-ve-alcakgonulluluk,Öfke Bütün Kötülüklerin Köküdür,Kabbalah,chaim vital
cordovero-pardes-rimmonim-gate-of-the-essence,Öz Kapısı: On Sefira ve Yaratılış Kitabı&#x27;nın Sırrı,Kabbalah,cordovero pardes
idra-rabba-buyuk-meclis-sakalin-tertibi,İdra Rabba: Büyük Meclis ve Sakalın On Üç Tertibi,Kabbalah,idra rabba
kor-ishak-tefekkur-ilahi-irade-kabala,İlahi İradeye Teslim: Kalbin Tefekkürü Üzerine,Kabbalah,ishak tefekkur
gikatilla-gates-of-light-names-as-keys-kabbalah,"İlahi İsimler, Her Kapıyı Açan Anahtarlardır",Kabbalah,gikatilla gates
kabbala-denudata-tetragrammaton-jod-he-kabbalah,İsmin Harfleri: Yod ile He&#x27;nin Sırrı,Kabbalah,kabbala denudata
bahir-israil-tacli-ogul-ve-suren-agac,İsrail&#x27;in Tacı ve Süren Ağaç: Bahir&#x27;den Bir Mesel,Kabbalah,bahir israil
isaac-luria-sabat-sofrasi-ilahileri-kutsal-elmalar-tarlasi,Şabat Sofrası İlahileri: Kutsal Elmalar Tarlası ve Üç Öğün,Kabbalah,isaac luria
maimonides-saskinlar-icin-kilavuz-simsek-cakislari,Şimşek Çakışları: Tanrı&#x27;yı İdrak Mertebeleri,Kabbalah,maimonides saskinlar
aratus-phaenomena-hayvanlar-cemberi,"Aratos, Phainomena: Hayvanlar Çemberi ve Güneşin Yıllık Yolculuğu",Kozmoloji,aratus phaenomena
cardano-de-subtilitate-dunyanin-duzeni,Bütün Dünyanın Düzeni ve Göklerin Seyri Üzerine,Kozmoloji,cardano subtilitate
makrokozmos-mikrokozmos-buyuk-insan-kucuk-dunya,Büyük Âlem ve Küçük İnsan: Makrokozmos ile Mikrokozmos,Kozmoloji,makrokozmos mikrokozmos
plinius-dogal-tarih-ii-evren,Doğal Tarih II: Evren,Kozmoloji,plinius dogal
francesco-giorgi-harmonia-mundi-muzigin-gucu,Doğanın ve İlahi Şeylerin Uyumunda Gizli Güç,Kozmoloji,francesco giorgi
doganin-sikayeti-jean-de-meun-tabiat-itiraf,Doğanın Şikâyeti: Tabiat&#x27;ın İtirafı,Kozmoloji,doganin sikayeti
fontenelle-dunyalarin-coklugu-aydaki-insanlar,Dünyaların Çokluğu Üzerine Söyleşiler,Kozmoloji,fontenelle dunyalarin
honorius-dunyanin-sureti-alemin-yumurta-benzetmesi,Dünyanın Sureti: Âlemin Biçimi ve Dört Unsur,Kozmoloji,honorius dunyanin
giorgi-de-harmonia-mundi-dunyanin-uyumu,Dünyanın Uyumu Üzerine,Kozmoloji,giorgi harmonia
hyginus-poetica-astronomica-draco-ejderha,Ejderha: İki Ayı Arasına Yerleştirilen Yılan,Kozmoloji,hyginus poetica
nicholas-of-cusa-erisilmezin-erisilmezligi,Erişilmezin Erişilmez Biçimde Erişilmesi,Kozmoloji,nicholas cusa
cardano-seylerin-cesitliligi-evren-ve-gok-felekleri,Evrenin Birliği ve Sonsuzluğu Üzerine,Kozmoloji,cardano seylerin
campanella-seylerin-duyusu-evrenin-duyusu,"Evrenin Duyusu: Dünya, Yüce Tanrı&#x27;nın Yaşayan Bir Tapınağıdır",Kozmoloji,campanella seylerin
timaios-lokrili-evrenin-ruhu-uzerine,Evrenin Ruhu ve Doğa Üzerine,Kozmoloji,timaios lokrili
chalcidius-timaios-serhi-evrenin-ruhu,Evrenin Ruhu: Tanrı&#x27;nın Biçimlendirdiği Yetkin Küre,Kozmoloji,chalcidius timaios
ocellus-lucanus-evrenin-tabiati-uzerine,Evrenin Tabiatı Üzerine,Kozmoloji,ocellus lucanus
omer-hayyam-rubailer-ezel-kalemi-ve-kaderin-cizgisi,Ezelin Şafağı ve Kaderin Değişmez Kalemi,Kozmoloji,omer hayyam
martianus-capella-filoloji-ile-merkurun-dugunu,Filoloji ile Merkür&#x27;ün Düğünü,Kozmoloji,martianus capella
campanella-galileo-savunmasi-kopernik-lehine,Galileo İçin Savunma: Kopernik&#x27;in Lehine Deliller,Kozmoloji,campanella galileo
isidoros-etymologiae-gokler-gok-kuresi,Gök ve Onun Adı Üzerine,Kozmoloji,isidoros etymologiae
cleomedes-gokler-uzerine-donen-kureler,Gökler Üzerine: Dönen Kürelerin Kuramı,Kozmoloji,cleomedes gokler
tycho-brahe-yeni-yildiz-1572-goklerin-yasasi,Göklerde Beliren Yeni Yıldız: Aristoteles&#x27;in Yasasını Bozan Işık,Kozmoloji,tycho brahe
fergani-goklerin-yuvarlakligi,Göklerin Yuvarlaklığı ve Yıldızların Dairesel Devinimi Üzerine,Kozmoloji,fergani goklerin
copernicus-goksel-kureler,Göksel Kürelerin Devinimleri Üzerine,Kozmoloji,copernicus goksel
thomas-digges-goksel-makinenin-yeni-anatomisi,Göksel Makinenin Yeni Anatomisi,Kozmoloji,thomas digges
alfraganus-gokyuzu-bir-kuredir,Gökyüzü Bir Küredir,Kozmoloji,alfraganus gokyuzu
gogun-kuresi-sacrobosco-sphaera-mundi,Göğün Küresi,Kozmoloji,gogun kuresi
campanella-gunes-kenti-gunes-tapinagi,Güneş Kenti: Göklerin Resmedildiği Tapınak,Kozmoloji,campanella gunes
basileios-hexaemeron-baslangicta-yaratan-tanri,Hexaemeron: Yaratılışın Başlangıcı ve Zamanın Doğuşu,Kozmoloji,basileios hexaemeron
